ctrl+r_1,F9_1,shift+f7_1,shift+tab_1,ctrl+a_1,text_1,tab_1,text_2,tab_2,text_3,,,
,,,3,,213 | DIM01_00 |  | SPARE,2,"""ENG01_WRK"".IO.DIM01_00.io.sts",1,ENG01_DIM01_00,,,
,,,3,,214 | DIM01_01 |  | SPARE,2,"""ENG01_WRK"".IO.DIM01_01.io.sts",1,ENG01_DIM01_01,,,
,,,3,,215 | DIM01_02 |  | SPARE,2,"""ENG01_WRK"".IO.DIM01_02.io.sts",1,ENG01_DIM01_02,,,
,,,3,,216 | DIM01_03 |  | SPARE,2,"""ENG01_WRK"".IO.DIM01_03.io.sts",1,ENG01_DIM01_03,,,
,,,3,,217 | DIM01_04 |  | SPARE,2,"""ENG01_WRK"".IO.DIM01_04.io.sts",1,ENG01_DIM01_04,,,
,,,3,,218 | DIM01_05 |  | SPARE,2,"""ENG01_WRK"".IO.DIM01_05.io.sts",1,ENG01_DIM01_05,,,
,,,3,,219 | DIM01_06 | PS21.01 | Engine 1 Cabinet Exhaust Fault 2,2,"""ENG01_WRK"".IO.PS21_01.io.sts",1,ENG01_PS21_01,,,
,,,3,,220 | DIM01_07 |  | SPARE,2,"""ENG01_WRK"".IO.DIM01_07.io.sts",1,ENG01_DIM01_07,,,
,,,3,,221 | DIM01_08 |  | SPARE,2,"""ENG01_WRK"".IO.DIM01_08.io.sts",1,ENG01_DIM01_08,,,
,,,3,,222 | DIM01_09 |  | SPARE,2,"""ENG01_WRK"".IO.DIM01_09.io.sts",1,ENG01_DIM01_09,,,
,,,3,,223 | DIM01_10 | ZS21.00 | Engine 1 Door Interlock,2,"""ENG01_WRK"".IO.ZS21_00.io.sts",1,ENG01_ZS21_00,,,
,,,3,,224 | DIM01_11 | ZS21.02 | Engine 1 Remote I/O Door Interlock,2,"""ENG01_WRK"".IO.ZS21_02.io.sts",1,ENG01_ZS21_02,,,
,,,3,,225 | DIM01_12 |  | SPARE,2,"""ENG01_WRK"".IO.DIM01_12.io.sts",1,ENG01_DIM01_12,,,
,,,3,,226 | DIM01_13 |  | SPARE,2,"""ENG01_WRK"".IO.DIM01_13.io.sts",1,ENG01_DIM01_13,,,
,,,3,,227 | DIM01_14 | LS51.05 | Engine 1 Leak 2,2,"""ENG01_WRK"".IO.LS51_05.io.sts",1,ENG01_LS51_05,,,
,,,3,,228 | DIM01_15 | LS51.04 | Engine 1 Leak 1,2,"""ENG01_WRK"".IO.LS51_04.io.sts",1,ENG01_LS51_04,,,
