ctrl+r_1,F9_1,shift+f7_1,shift+tab_1,ctrl+a_1,text_1,tab_1,text_2,tab_2,text_3,,,
,,,3,,481 | DIM04_04 | LS13.00 | Vessel 13.00 Low Low,2,"""SCME_WRK"".io.LS13_00.io.sts",1,SCME_LS13_00,,,
,,,3,,482 | DIM04_05 | LS13.05 | Vessel 13.00 Overfill,2,"""SCME_WRK"".io.LS13_05.io.sts",1,SCME_LS13_05,,,
,,,3,,483 | DIM04_06 | LS14.00 | Vessel 14.00 Low Low,2,"""SCME_WRK"".io.LS14_00.io.sts",1,SCME_LS14_00,,,
,,,3,,484 | DIM04_07 | LS14.05 | Vessel 14.00 Overfill,2,"""SCME_WRK"".io.LS14_05.io.sts",1,SCME_LS14_05,,,
,,,3,,485 | DIM04_08 | ZS11.00 | Vessel 11.00 Start PB,2,"""SCME_WRK"".io.ZS11_00.io.sts",1,SCME_ZS11_00,,,
,,,3,,486 | DIM04_09 | ZS12.00 | Vessel 12.00 Start PB,2,"""SCME_WRK"".io.ZS12_00.io.sts",1,SCME_ZS12_00,,,
,,,3,,487 | DIM04_10 | ZS13.00 | Vessel 13.00 Start PB,2,"""SCME_WRK"".io.ZS13_00.io.sts",1,SCME_ZS13_00,,,
,,,3,,488 | DIM04_11 | ZS14.00 | Vessel 14.00 Start PB,2,"""SCME_WRK"".io.ZS14_00.io.sts",1,SCME_ZS14_00,,,
,,,3,,489 | DIM04_12 |  | SPARE,2,"""SCME_WRK"".io.DIM04_12.io.sts",1,SCME_DIM04_12,,,
,,,3,,490 | DIM04_13 |  | SPARE,2,"""SCME_WRK"".io.DIM04_13.io.sts",1,SCME_DIM04_13,,,
,,,3,,491 | DIM04_14 | RDY CCB | CCB Ready,2,"""SCME_WRK"".io.RDYCCB.io.sts",1,SCME_RDYCCB,,,
,,,3,,492 | DIM04_15 |  | SPARE,2,"""SCME_WRK"".io.DIM04_15.io.sts",1,SCME_DIM04_15,,,
,,,3,,493 | DOM05_00 | YI00.00 | System Audible Alert,2,"""SCME_WRK"".io.YI00_00.io.sts",1,SCME_YI00_00,,,
,,,3,,494 | DOM05_01 | YL00.02 | System OK,2,"""SCME_WRK"".io.YL00_02.io.sts",1,SCME_YL00_02,,,
,,,3,,495 | DOM05_02 | YL00.01 | System Maintenance,2,"""SCME_WRK"".io.YL00_01.io.sts",1,SCME_YL00_01,,,
,,,3,,496 | DOM05_03 | YL00.00 | System Shutdown,2,"""SCME_WRK"".io.YL00_00.io.sts",1,SCME_YL00_00,,,
,,,3,,497 | DOM05_04 | XL00.00 | Control Cabinet Light,2,"""SCME_WRK"".io.XL00_00.io.sts",1,SCME_XL00_00,,,
,,,3,,498 | DOM05_05 | XL10.00 | Cabinet Light,2,"""SCME_WRK"".io.XL10_00.io.sts",1,SCME_XL10_00,,,
,,,3,,499 | DOM05_06 | OUT_R4 | EMO Reset,2,"""SCME_WRK"".io.OUT_R4.io.sts",1,SCME_OUT_R4,,,
,,,3,,500 | DOM05_07 | YL11.00 | Vessel 11.00 Start PB Light,2,"""SCME_WRK"".io.YL11_00.io.sts",1,SCME_YL11_00,,,
,,,3,,501 | DOM05_08 | YL12.00 | Vessel 12.00 Start PB Light,2,"""SCME_WRK"".io.YL12_00.io.sts",1,SCME_YL12_00,,,
,,,3,,502 | DOM05_09 | YL13.00 | Vessel 13.00 Start PB Light,2,"""SCME_WRK"".io.YL13_00.io.sts",1,SCME_YL13_00,,,
,,,3,,503 | DOM05_10 | YL14.00 | Vessel 14.00 Start PB Light,2,"""SCME_WRK"".io.YL14_00.io.sts",1,SCME_YL14_00,,,
,,,3,,504 | DOM05_11 |  | SPARE,2,"""SCME_WRK"".io.DOM05_11.io.sts",1,SCME_DOM05_11,,,
,,,3,,505 | DOM05_12 |  | SPARE,2,"""SCME_WRK"".io.DOM05_12.io.sts",1,SCME_DOM05_12,,,
,,,3,,506 | DOM05_13 |  | SPARE,2,"""SCME_WRK"".io.DOM05_13.io.sts",1,SCME_DOM05_13,,,
,,,3,,507 | DOM05_14 |  | SPARE,2,"""SCME_WRK"".io.DOM05_14.io.sts",1,SCME_DOM05_14,,,
,,,3,,508 | DOM05_15 |  | SPARE,2,"""SCME_WRK"".io.DOM05_15.io.sts",1,SCME_DOM05_15,,,
,,,,,,,,,,,,
ctrl+r_1,F8_1,enter_1,text_4,enter_1,wait_1,shift+tab_1,ctrl+a_1,text_1,tab_1,text_2,tab_2,text_3
,,1,move,3,1000,3,,509 | AIM06_00 | PIT01.00 | Process Gas Pressure,2,"""SCME_WRK"".io.PIT01_00.smth",1,SCME_PIT01_00
,,1,move,3,1000,3,,510 | AIM06_01 | PT01.04 | Vessel Vent Pressure,2,"""SCME_WRK"".io.PT01_04.smth",1,SCME_PT01_04
,,1,move,3,1000,3,,511 | AIM06_02 | PT01.01 | Vessel Connection Verification Pressure,2,"""SCME_WRK"".io.PT01_01.smth",1,SCME_PT01_01
,,1,move,3,1000,3,,512 | AIM06_03 |  | SPARE,2,"""SCME_WRK"".io.AIM06_03.smth",1,SCME_AIM06_03
,,1,move,3,1000,3,,513 | AIM06_04 | TT00.00 | Control Cabinet Temperature,2,"""SCME_WRK"".io.TT00_00.smth",1,SCME_TT00_00
,,1,move,3,1000,3,,514 | AIM06_05 | TT10.00 | Cabinet Temperature,2,"""SCME_WRK"".io.TT10_00.smth",1,SCME_TT10_00
,,1,move,3,1000,3,,515 | AIM06_06 |  | SPARE,2,"""SCME_WRK"".io.AIM06_06.smth",1,SCME_AIM06_06
,,1,move,3,1000,3,,516 | AIM06_07 | PIT00.00 | Cabinet Exhaust Pressure,2,"""SCME_WRK"".io.PIT00_00.smth",1,SCME_PIT00_00
,,,,,,,,,,,,
ctrl+r_1,F9_1,shift+f7_1,shift+tab_1,ctrl+a_1,text_1,tab_1,text_2,tab_2,text_3,,,
,,,3,,517 | SOL07_00 | FV11.00 | Vessel 11.00 Outlet,2,"""SCME_WRK"".io.FVY11_00.io.sts",1,SCME_FVY11_00,,,
,,,3,,518 | SOL07_01 | FV11.01 | Vessel 11.00 Inlet,2,"""SCME_WRK"".io.FVY11_01.io.sts",1,SCME_FVY11_01,,,
